#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_adeer;Adeer;Adeer;Adeer;;Adeer;;;;;;;;;x
c_adeer_adj;Adeerian;;adeerer;;;;;;;;;;;x
c_agister;Agister;Agister;Agister;;Agister;;;;;;;;;x
c_agister_adj;Agisterian;;agisterer;;;;;;;;;;;x
c_airbydos;Airbydos;Airbydos;Airbydos;;Airbydos;;;;;;;;;x
c_airbydos_adj;Airbydosian;;airbydoser;;;;;;;;;;;x
c_airheart_mountains;Airheart Mountains;Airheart Mountains;Airheart Mountains;;Airheart Mountains;;;;;;;;;x
c_airheart_mountains_adj;Airheart Mountainsian;;Airheart Mountainser;;;;;;;;;;;x
c_airthniai;Airthniai;Airthniai;Airthniai;;Airthniai;;;;;;;;;x
c_airthniai_adj;Airthnian;;airthner;;;;;;;;;;;x
c_airtois;Airtois;Airtois;Airtois;;Airtois;;;;;;;;;x
c_airtois_adj;Airtoisian;;airtoiser;;;;;;;;;;;x
c_aitrotabad;Aitrotabad;Aitrotabad;Aitrotabad;;Aitrotabad;;;;;;;;;x
c_aitrotabad_adj;Aitrotabadian;;aitrotabader;;;;;;;;;;;x
c_al_amareah;Al Amareah;Al Amareah;Al Amareah;;Al Amareah;;;;;;;;;x
c_al_amareah_adj;Al Amareahian;;Al Amareaher;;;;;;;;;;;x
c_al_barnhah;Al Barnhah;Al Barnhah;Al Barnhah;;Al Barnhah;;;;;;;;;x
c_al_barnhah_adj;Al Barnhahian;;Al Barnhaher;;;;;;;;;;;x
c_al_buckri;Al Buckri;Al Buckri;Al Buckri;;Al Buckri;;;;;;;;;x
c_al_buckri_adj;Al Buckrian;;Al Buckrer;;;;;;;;;;;x
c_al_colwf;Al Colwf;Al Colwf;Al Colwf;;Al Colwf;;;;;;;;;x
c_al_colwf_adj;Al Colwfian;;Al Colwfer;;;;;;;;;;;x
c_al_ferrier;Al Ferrier;Al Ferrier;Al Ferrier;;Al Ferrier;;;;;;;;;x
c_al_ferrier_adj;Al Ferrierian;;Al Ferrierer;;;;;;;;;;;x
c_al_gallop;Al Gallop;Al Gallop;Al Gallop;;Al Gallop;;;;;;;;;x
c_al_gallop_adj;Al Gallopian;;Al Galloper;;;;;;;;;;;x
c_al_haybbariyah;Al Haybbariyah;Al Haybbariyah;Al Haybbariyah;;Al Haybbariyah;;;;;;;;;x
c_al_haybbariyah_adj;Al Haybbariyahian;;Al Haybbariyaher;;;;;;;;;;;x
c_al_jazmare;Al Jazmare;Al Jazmare;Al Jazmare;;Al Jazmare;;;;;;;;;x
c_al_jazmare_adj;Al Jazmarean;;Al Jazmarer;;;;;;;;;;;x
c_al_manecha;Al-Manecha;Al-Manecha;Al-Manecha;;Al-Manecha;;;;;;;;;x
c_al_manecha_adj;Al-Manechan;;al-manecher;;;;;;;;;;;x
c_al_maneia;Al-Maneia;Al-Maneia;Al-Maneia;;Al-Maneia;;;;;;;;;x
c_al_maneia_adj;Al-Maneian;;al-maner;;;;;;;;;;;x
c_al_mareaq;Al Mareaq;Al Mareaq;Al Mareaq;;Al Mareaq;;;;;;;;;x
c_al_mareaq_adj;Al Mareaqian;;Al Mareaqer;;;;;;;;;;;x
c_al_mareza;Al Mareza;Al Mareza;Al Mareza;;Al Mareza;;;;;;;;;x
c_al_mareza_adj;Al Marezan;;Al Marezer;;;;;;;;;;;x
c_al_neighjaf;Al Neighjaf;Al Neighjaf;Al Neighjaf;;Al Neighjaf;;;;;;;;;x
c_al_neighjaf_adj;Al Neighjafian;;Al Neighjafer;;;;;;;;;;;x
c_al_neighreins;Al Neighreins;Al Neighreins;Al Neighreins;;Al Neighreins;;;;;;;;;x
c_al_neighreins_adj;Al Neighreinsian;;Al Neighreinser;;;;;;;;;;;x
c_al_stable;Al Stable;Al Stable;Al Stable;;Al Stable;;;;;;;;;x
c_al_stable_adj;Al Stablean;;Al Stabler;;;;;;;;;;;x
c_al_stallhmane;Al Stallhmane;Al Stallhmane;Al Stallhmane;;Al Stallhmane;;;;;;;;;x
c_al_stallhmane_adj;Al Stallhmanean;;Al Stallhmaner;;;;;;;;;;;x
c_al_trotters;Al Trotters;Al Trotters;Al Trotters;;Al Trotters;;;;;;;;;x
c_al_trotters_adj;Al Trottersian;;Al Trotterser;;;;;;;;;;;x
c_al_zebara;Al Zebara;Al Zebara;Al Zebara;;Al Zebara;;;;;;;;;x
c_al_zebara_adj;Al Zebaran;;Al Zebarer;;;;;;;;;;;x
c_alexmanedria;Alexmanedria;Alexmanedria;Alexmanedria;;Alexmanedria;;;;;;;;;x
c_alexmanedria_adj;Alexmanedrian;;alexmanedrer;;;;;;;;;;;x
c_algalloppo;Algalloppo;Algalloppo;Algalloppo;;Algalloppo;;;;;;;;;x
c_algalloppo_adj;Algalloppian;;algallopper;;;;;;;;;;;x
c_algecantras;Algecantras;Algecantras;Algecantras;;Algecantras;;;;;;;;;x
c_algecantras_adj;Algecantrasian;;algecantraser;;;;;;;;;;;x
c_almaria;Almaria;Almaria;Almaria;;Almaria;;;;;;;;;x
c_almaria_adj;Almarian;;almarer;;;;;;;;;;;x
c_altocumulus;Altocumulus;Altocumulus;Altocumulus;;Altocumulus;;;;;;;;;x
c_altocumulus_adj;Altocumulusian;;altocumuluser;;;;;;;;;;;x
c_altolonika;Altolonika;Altolonika;Altolonika;;Altolonika;;;;;;;;;x
c_altolonika_adj;Altolonikan;;altoloniker;;;;;;;;;;;x
c_altostratus;Altostratus;Altostratus;Altostratus;;Altostratus;;;;;;;;;x
c_altostratus_adj;Altostratusian;;altostratuser;;;;;;;;;;;x
c_amainda;Amainda;Amainda;Amainda;;Amainda;;;;;;;;;x
c_amainda_adj;Amaindan;;amainder;;;;;;;;;;;x
c_amane;Amane;Amane;Amane;;Amane;;;;;;;;;x
c_amane_adj;Amanean;;amaner;;;;;;;;;;;x
