#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_airpius;Airpius;Airpius;Airpius;;Airpius;;;;;;;;;x
d_airpius_adj;Airpiusian;;airpiuser;;;;;;;;;;;x
d_al_manein;Al-Manein;Al-Manein;Al-Manein;;Al-Manein;;;;;;;;;x
d_al_manein_adj;Al-Maneinian;;al-maneiner;;;;;;;;;;;x
d_al_trotters;Al Trotters;Al Trotters;Al Trotters;;Al Trotters;;;;;;;;;x
d_al_trotters_adj;Al Trottersian;;Al Trotterser;;;;;;;;;;;x
d_algalloppo;Algalloppo;Algalloppo;Algalloppo;;Algalloppo;;;;;;;;;x
d_algalloppo_adj;Algalloppian;;algallopper;;;;;;;;;;;x
d_almaria;Almaria;Almaria;Almaria;;Almaria;;;;;;;;;x
d_almaria_adj;Almarian;;almarer;;;;;;;;;;;x
d_altolonika;Altolonika;Altolonika;Altolonika;;Altolonika;;;;;;;;;x
d_altolonika_adj;Altolonikan;;altoloniker;;;;;;;;;;;x
d_angerbirdland;Ångerbirdland;Ångerbirdland;Ångerbirdland;;Ångerbirdland;;;;;;;;;x
d_angerbirdland_adj;Ångerbirdlandian;;ångerbirdlander;;;;;;;;;;;x
d_antlerine;Antlerine;Antlerine;Antlerine;;Antlerine;;;;;;;;;x
d_antlerine_adj;Antlerinean;;antleriner;;;;;;;;;;;x
d_applegrounds;Applegrounds;Applegrounds;Applegrounds;;Applegrounds;;;;;;;;;x
d_applegrounds_adj;Applegroundsian;;applegroundser;;;;;;;;;;;x
d_applewood;Applewood;Applewood;Applewood;;Applewood;;;;;;;;;x
d_applewood_adj;Applewoodian;;applewooder;;;;;;;;;;;x
d_asmane;Asmane;Asmane;Asmane;;Asmane;;;;;;;;;x
d_asmane_adj;Asmanean;;asmaner;;;;;;;;;;;x
d_autumnsborough;Autumnsborough;Autumnsborough;Autumnsborough;;Autumnsborough;;;;;;;;;x
d_autumnsborough_adj;Autumnsboroughian;;autumnsborougher;;;;;;;;;;;x
d_basmarea;Basmarea;Basmarea;Basmarea;;Basmarea;;;;;;;;;x
d_basmarea_adj;Basmarean;;basmarer;;;;;;;;;;;x
d_beakinge;Beakinge;Beakinge;Beakinge;;Beakinge;;;;;;;;;x
d_beakinge_adj;Beakingean;;beakinger;;;;;;;;;;;x
d_beakslagen;Beakslagen;Beakslagen;Beakslagen;;Beakslagen;;;;;;;;;x
d_beakslagen_adj;Beakslagenian;;beakslagener;;;;;;;;;;;x
d_benitoite;Benitoite;Benitoite;Benitoite;;Benitoite;;;;;;;;;x
d_benitoite_adj;Benitoitean;;benitoiter;;;;;;;;;;;x
d_bitaly;Bitaly;Bitaly;Bitaly;;Bitaly;;;;;;;;;x
d_bitaly_adj;Bitalian;;bitaler;;;;;;;;;;;x
d_blackwater;Blackwater;Blackwater;Blackwater;;Blackwater;;;;;;;;;x
d_blackwater_adj;Blackwaterian;;blackwaterer;;;;;;;;;;;x
d_brantbeak;Brantbeak;Brantbeak;Brantbeak;;Brantbeak;;;;;;;;;x
d_brantbeak_adj;Brantbeakian;;brantbeaker;;;;;;;;;;;x
d_buckdad;Buckdad;Buckdad;Buckdad;;Buckdad;;;;;;;;;x
d_buckdad_adj;Buckdadian;;buckdader;;;;;;;;;;;x
d_buckhara;Buckhara;Buckhara;Buckhara;;Buckhara;;;;;;;;;x
d_buckhara_adj;Buckharan;;buckharer;;;;;;;;;;;x
d_canterlot;Canterlot;Canterlot;Canterlot;;Canterlot;;;;;;;;;x
d_canterlot_adj;Canterlotian;;canterloter;;;;;;;;;;;x
d_caraboo;Caraboo;Caraboo;Caraboo;;Caraboo;;;;;;;;;x
d_caraboo_adj;Carabian;;caraber;;;;;;;;;;;x
d_cheepoa;Cheepoa;Cheepoa;Cheepoa;;Cheepoa;;;;;;;;;x
d_cheepoa_adj;Cheepoan;;cheeper;;;;;;;;;;;x
d_cheval;Cheval;Cheval;Cheval;;Cheval;;;;;;;;;x
d_cheval_adj;Chevalian;;chevaler;;;;;;;;;;;x
d_chillibuck;Chillibuck;Chillibuck;Chillibuck;;Chillibuck;;;;;;;;;x
d_chillibuck_adj;Chillibuckian;;chillibucker;;;;;;;;;;;x
d_chitinan;Chitinan;Chitinan;Chitinan;;Chitinan;;;;;;;;;x
d_chitinan_adj;Chitinanian;;chitinaner;;;;;;;;;;;x
d_cold_wind_pass;Cold Wind Pass;Cold Wind Pass;Cold Wind Pass;;Cold Wind Pass;;;;;;;;;x
d_cold_wind_pass_adj;Cold Wind Passian;;Cold Wind Passer;;;;;;;;;;;x
d_coltarga;Coltarga;Coltarga;Coltarga;;Coltarga;;;;;;;;;x
d_coltarga_adj;Coltargan;;coltarger;;;;;;;;;;;x
d_coltbergite;Coltbergite;Coltbergite;Coltbergite;;Coltbergite;;;;;;;;;x
d_coltbergite_adj;Coltbergitean;;coltbergiter;;;;;;;;;;;x
d_coltiat;Coltiat;Coltiat;Coltiat;;Coltiat;;;;;;;;;x
d_coltiat_adj;Coltiatian;;coltiater;;;;;;;;;;;x
d_colticia;Colticia;Colticia;Colticia;;Colticia;;;;;;;;;x
d_colticia_adj;Coltician;;colticer;;;;;;;;;;;x
d_coltiro;Coltiro;Coltiro;Coltiro;;Coltiro;;;;;;;;;x
d_coltiro_adj;Coltirian;;coltirer;;;;;;;;;;;x
d_coltiva;Coltiva;Coltiva;Coltiva;;Coltiva;;;;;;;;;x
d_coltiva_adj;Coltivan;;coltiver;;;;;;;;;;;x
d_coltogo;Coltogo;Coltogo;Coltogo;;Coltogo;;;;;;;;;x
d_coltogo_adj;Coltogian;;coltoger;;;;;;;;;;;x
d_coltpagne;Coltpagne;Coltpagne;Coltpagne;;Coltpagne;;;;;;;;;x
d_coltpagne_adj;Coltpagnean;;coltpagner;;;;;;;;;;;x
d_corvemona;Corvemona;Corvemona;Corvemona;;Corvemona;;;;;;;;;x
d_corvemona_adj;Corvemonan;;corvemoner;;;;;;;;;;;x
d_crimson_hills;Crimson Hills;Crimson Hills;Crimson Hills;;Crimson Hills;;;;;;;;;x
d_crimson_hills_adj;Crimson Hillsian;;Crimson Hillser;;;;;;;;;;;x
d_crystal_gap;Crystal Gap;Crystal Gap;Crystal Gap;;Crystal Gap;;;;;;;;;x
d_crystal_gap_adj;Crystal Gapian;;Crystal Gaper;;;;;;;;;;;x
d_crystal_heartland;Crystal Heartland;Crystal Heartland;Crystal Heartland;;Crystal Heartland;;;;;;;;;x
d_crystal_heartland_adj;Crystal Heartlandian;;Crystal Heartlander;;;;;;;;;;;x
d_crystal_pass;Crystal Pass;Crystal Pass;Crystal Pass;;Crystal Pass;;;;;;;;;x
d_crystal_pass_adj;Crystal Passian;;Crystal Passer;;;;;;;;;;;x
d_crystalsnow;Crystalsnow;Crystalsnow;Crystalsnow;;Crystalsnow;;;;;;;;;x
d_crystalsnow_adj;Crystalsnowian;;crystalsnower;;;;;;;;;;;x
d_daiamondland;Daiamondland;Daiamondland;Daiamondland;;Daiamondland;;;;;;;;;x
d_daiamondland_adj;Daiamondlandian;;daiamondlander;;;;;;;;;;;x
d_damanetta;Damanetta;Damanetta;Damanetta;;Damanetta;;;;;;;;;x
d_damanetta_adj;Damanettan;;damanetter;;;;;;;;;;;x
d_damarescus;Damarescus;Damarescus;Damarescus;;Damarescus;;;;;;;;;x
d_damarescus_adj;Damarescusian;;damarescuser;;;;;;;;;;;x
d_darkstamp;Darkstamp;Darkstamp;Darkstamp;;Darkstamp;;;;;;;;;x
d_darkstamp_adj;Darkstampian;;darkstamper;;;;;;;;;;;x
d_desark;Desark;Desark;Desark;;Desark;;;;;;;;;x
d_desark_adj;Desarkian;;desarker;;;;;;;;;;;x
d_diamond_hills;Diamond Hills;Diamond Hills;Diamond Hills;;Diamond Hills;;;;;;;;;x
d_diamond_hills_adj;Diamond Hillsian;;Diamond Hillser;;;;;;;;;;;x
d_diamond_river;Diamond River;Diamond River;Diamond River;;Diamond River;;;;;;;;;x
d_diamond_river_adj;Diamond Riverian;;Diamond Riverer;;;;;;;;;;;x
d_dodgeland;Dodgeland;Dodgeland;Dodgeland;;Dodgeland;;;;;;;;;x
d_dodgeland_adj;Dodgelandian;;dodgelander;;;;;;;;;;;x
d_doepine;Doepine;Doepine;Doepine;;Doepine;;;;;;;;;x
d_doepine_adj;Doepinean;;doepiner;;;;;;;;;;;x
d_east_everfree;East Everfree;East Everfree;East Everfree;;East Everfree;;;;;;;;;x
d_east_everfree_adj;East Everfreean;;East Everfrer;;;;;;;;;;;x
d_east_mooseland;East Mooseland;East Mooseland;East Mooseland;;East Mooseland;;;;;;;;;x
d_east_mooseland_adj;East Mooselandian;;East Mooselander;;;;;;;;;;;x
d_east_side;East Side;East Side;East Side;;East Side;;;;;;;;;x
