EVTDESC_WOL_2002;Life in the shadows is a risky affair - eavesdroppers can be discovered, plots can backfire, and vengeful victims come after you with a dagger in the night! I am not proud of what I do, but it is for the greater good.;La vie dans l'ombre est pleine de risques : les espions peuvent être découverts, les complots peuvent se retourner contre le conspirateur, et les victimes vengeresses vous poursuivent dague à la main ! Je n'éprouve aucune fierté dans mes actions, mais elles sont pour le bien de tous.;Das Leben im Zwielicht der Schatten ist riskant. Lauscher sind eine Gefahr, Verschwörungen können nach hinten losgehen und rachsüchtige Opfer können einem nachstellen, den Dolch in der Hand! Ich bin nicht stolz auf meine Taten, doch meine Ziele sind edel.;;Vida en las sombras es un asunto peligroso -se pueden encontrar fisgones, los complots se pueden volver en nuestra contra y las víctimas vengativas pueden perseguirnos daga en mano! No me enorgullezco de lo que hago, pero es por el bien mayor.;;;;;;;;;x
EVTDESC_WOL_2003;Even the mightiest army can be defeated by a single [Root.GetManWoman]. Cut off the head and the body falls. I am [Root.GetFirstName] - [Root.GetMasterMistress] of Shadows.;Même l'armée la plus puissante peut être défaite par un/une seul(e) [Root.GetManWoman]. Coupez la tête, et le corps tombe. Je suis [Root.GetFirstName], [Root.GetMasterMistress] des ombres.;Selbst die mächtigste Armee kann durch einen einzelnen Menschen besiegt werden. Wenn man den Kopf abschlägt, ist der Körper wehrlos. Ich bin [Root.GetFirstName] – [Root.GetMasterMistress] der Schatten.;;Incluso el ejército más poderoso puede ser derrotado por uno/a simple [Root.GetManWoman]. Cortar la cabeza y el cuerpo cae. Soy [Root.GetFirstName], [Root.GetMasterMistress] de las sombras.;;;;;;;;;x
EVTOPTA_WOL_2003;I shall rule from the shadows.;Je régnerai depuis les ténèbres.;Ich bleibe im Schatten und ziehe die Fäden.;;Gobernaré en las sombras.;;;;;;;;;x
EVTOPTB_WOL_2003;I shall strike terror into the hearts of my foes!;J'inspirerai la terreur dans le cœur de mes ennemis !;Ich werde die Herzen meiner Feinde mit Furcht erfüllen!;;¡Infundiré terror en los corazones de mis enemigos!;;;;;;;;;x
EVTOPTC_WOL_2003;And yet, I won't let the shadows define me...;Et malgré cela, je ne laisserai pas les ombres me définir...;Trotzdem ist der Schatten nicht das, was mich ausmacht...;;Y sin embargo, no dejaré que las sombras me definan...;;;;;;;;;x
EVTDESC_WOL_2050;I - and my trusted snoops and sneaks - will keep a very close eye on the activities of [From.GetTitledName]... a close eye indeed.;Mes espions de confiance et moi-même garderons un œil sur les activités de [From.GetTitledName]... et un œil attentif cela sera.;Ich und meine getreuen Schnüffler und Schleicher werden die Aktivitäten von [From.GetTitledName] genau beobachten... wirklich ganz genau.;;Yo – y mis fisgones y soplones de confianza- seguiremos de cerca las actividades de [From.GetTitledName]. .. muy de cerca.;;;;;;;;;x
EVTOPTA_WOL_2050;I wonder what secrets [From.GetSubjectPronoun] is hiding?;Je me demande quels secrets [From.GetSubjectPronoun] cache ?;Ich frage mich, welche Geheimnisse [From.GetSubjectPronoun] verbirgt?;;¿Qué secretos esconderá [From.GetSubjectPronoun]?;;;;;;;;;x
EVTDESC_WOL_2061;There is no point spying on [FromFromFrom.GetTitledFirstName] anymore, considering [FromFromFrom.GetSubjectPronoun] is dead!;Il est inutile d'espionner [FromFromFrom.GetTitledFirstName], étant donné qu'[FromFromFrom.GetSubjectPronoun] n'est plus !;Es macht keinen Sinn, [FromFromFrom.GetTitledFirstName] auszuspionieren, wenn man bedenkt, dass [FromFromFrom.GetSubjectPronoun] tot ist!;;No tiene sentido seguir espiando a [FromFromFrom.GetTitledFirstName], teniendo en cuenta que ha muerto!;;;;;;;;;x
EVTOPTA_WOL_2061;Time to turn my attention elsewhere.;Il est temps de regarder ailleurs.;Höchste Zeit, mich anderen Dingen zuzuwenden.;;Tiempo de concentrar mi atención en otra parte.;;;;;;;;;x
EVTDESC_WOL_2062;[FromFromFrom.GetTitledFirstName] has ended up in prison, so there's no point spying on [FromFromFrom.GetObjectPronoun] anymore.;[FromFromFrom.GetTitledFirstName] a fini en prison, ce qui signifie qu'il est inutile de l'espionner à présent.;[FromFromFrom.GetTitledFirstName] ist im Gefängnis gelandet, daher gibt es keinen Grund mehr, [FromFromFrom.GetObjectPronoun] auszuspionieren.;;[FromFromFrom.GetTitledFirstName] terminó en la cárcel, así que seguir espiándo[FromFromFrom.GetObjectPronoun] ya no tiene sentido.;;;;;;;;;x
EVTDESC_WOL_2063;[FromFromFrom.GetTitledFirstName], the target of my current spy efforts, has tragically fallen comatose, making the endeavor pointless.;[FromFromFrom.GetTitledFirstName], la cible de mes efforts d'espionnage, est maintenant dans le coma, ce qui rend toute l'entreprise inutile.;[FromFromFrom.GetTitledFirstName], das Objekt meiner Spionagetätigkeiten, ist tragischerweise ins Koma gefallen, daher machen meine Bemühungen keinen Sinn mehr.;;[FromFromFrom.GetTitledFirstName], objetivo de mis esfuerzos actuales de espionaje, ha caído trágicamente en coma, haciendo inútil el esfuerzo.;;;;;;;;;x
EVTDESC_WOL_2064;[FromFromFrom.GetTitledFirstName] is no longer present in the realm, so there is no further point to my spying.;[FromFromFrom.GetTitledFirstName] ne fait plus partie du royaume, ce qui signifie que mes efforts d'espionnage sont désormais inutiles.;[FromFromFrom.GetTitledFirstName] hat das Reich verlassen, daher macht es keinen Sinn mehr, weiter zu spionieren.;;[FromFromFrom.GetTitledFirstName] ya no está presente en el Reino, así que no tiene sentido seguir espiado.;;;;;;;;;x
EVTDESC_WOL_2071;My spying on [target_spy_on.GetTitledName] has revealed [target_spy_on.GetPossPronoun] complicity in a shadowy plot to [From.GetPlot]!;Mon espionnage de [target_spy_on.GetTitledName] a révélé sa complicité dans un complot vicieux visant à [From.GetPlot] !;Meine Spione, die ich auf [target_spy_on.GetTitledName] angesetzt hatte, haben die Verwicklung dieser Person in diese dunkle Verschwörung festgestellt: [From.GetPlot]!;;Mi espionaje sobre [target_spy_on.GetTitledName] ha revelado que [target_spy_on.GetTitledName] es cómplice en un oscuro complot para [From.GetPlot]. ;;;;;;;;;x
EVTOPTA_WOL_2071;Knowledge is power!;Le savoir est une arme !;Wissen ist Macht!;;¡El conocimiento es poder!;;;;;;;;;x
EVTDESC_WOL_2080;My snoops overheard [FromFromFrom.GetTitledName] as [FromFromFrom.GetSubjectPronoun] told shocking lies about [FromFromFrom.GetPossPronoun] rightful liege! How should I use this information?;Mes espions ont entendu [FromFromFrom.GetTitledName] alors qu'[FromFromFrom.GetSubjectPronoun] racontait des mensonges révoltants à propos de son suzerain légitime ! Comment puis-je utiliser de telles informations ?;Meine Schnüffler haben [FromFromFrom.GetTitledName] belauscht, als [FromFromFrom.GetSubjectPronoun] schockierende Lügen erzählte über [FromFromFrom.GetPossPronoun] rechtmäßigen Lehnsherren! Was soll ich mit dieser Information anfangen?;;¡Mis fisgones escucharon a [FromFromFrom.GetTitledName] como [FromFromFrom.GetSubjectPronoun] contar mentiras impactantes sobre el legítimo señor de [FromFromFrom.GetPossPronoun]! ¿Cómo debo usar esta información?;;;;;;;;;x
